City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Tabuk,PH,17.4189,121.4443,75.9,83,95,2.91,overcast clouds
158,Halifax,CA,44.6453,-63.5724,73.53,48,40,3.0,scattered clouds
159,Yilan,TW,24.757,121.753,87.66,99,100,4.65,overcast clouds
160,Morgan City,US,29.6994,-91.2068,89.04,54,20,11.5,few clouds
161,Yala,TH,6.3333,101.25,73.51,96,100,2.35,overcast clouds
162,Simplicio Mendes,BR,-7.8539,-41.9103,96.4,23,19,8.1,few clouds
163,Khani,GE,41.9563,42.9566,58.57,97,57,1.12,broken clouds
164,Mananara,MG,-16.1667,49.7667,69.76,79,50,6.62,scattered clouds
165,Letlhakeng,BW,-24.0944,25.0298,58.62,30,0,4.85,clear sky
166,Vila Velha,BR,-20.3297,-40.2925,76.96,65,40,14.0,scattered clouds
167,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,94,90,13.8,light intensity drizzle
168,Korla,CN,41.7597,86.1469,74.98,17,50,2.71,scattered clouds
169,Okato,NZ,-39.2,173.8833,46.69,83,17,2.48,few clouds
170,Narsaq,GL,60.9167,-46.05,53.82,68,55,6.91,broken clouds
171,Russell,US,32.3502,-85.1999,91.15,41,75,5.75,broken clouds
172,Vestmanna,FO,62.1564,-7.1664,47.32,100,90,9.22,mist
173,Great Falls,US,47.5002,-111.3008,72.66,27,1,5.01,clear sky
174,Bethel,US,41.3712,-73.414,77.18,39,1,6.91,clear sky
175,Guerrero Negro,MX,27.9769,-114.0611,75.49,54,29,11.16,scattered clouds
176,Upernavik,GL,72.7868,-56.1549,34.14,83,69,6.93,broken clouds
177,Talnakh,RU,69.4865,88.3972,54.01,97,100,8.81,moderate rain
178,Villa Maria,AR,-32.4075,-63.2402,45.82,81,47,1.92,scattered clouds
179,Clyde River,CA,70.4692,-68.5914,37.63,93,75,10.36,light rain
180,Harrisonburg,US,38.4496,-78.8689,76.68,33,13,6.8,few clouds
181,Duvan,RU,55.695,57.9024,61.16,55,42,10.76,scattered clouds
182,Miranda,CO,3.2499,-76.2281,82.53,65,43,3.06,scattered clouds
183,Severo-Kurilsk,RU,50.6789,156.125,42.46,92,96,9.28,overcast clouds
184,Foz,ES,43.5692,-7.2544,64.65,97,100,15.23,light rain
185,Lompoc,US,34.6391,-120.4579,94.21,53,1,5.75,clear sky
186,Muisne,EC,0.6,-80.0333,82.51,80,98,11.03,overcast clouds
187,Akdepe,TM,42.0551,59.3788,86.0,14,0,10.0,clear sky
188,Zhigansk,RU,66.7697,123.3711,61.57,47,63,5.3,broken clouds
189,Kimbe,PG,-5.5502,150.1429,72.61,92,61,4.59,broken clouds
190,Acarau,BR,-2.8856,-40.12,82.53,75,45,13.78,scattered clouds
191,Olinda,BR,-8.0089,-34.8553,80.33,69,40,14.97,scattered clouds
192,Toora-Khem,RU,52.4675,96.11,47.7,87,15,2.01,few clouds
193,Whitehaven,GB,54.549,-3.5841,64.81,64,39,10.56,scattered clouds
194,Adrar,MR,20.5022,-10.0711,102.58,10,4,16.46,clear sky
195,Fort Abbas,PK,29.1925,72.8536,94.35,34,83,7.81,broken clouds
196,Voznesenye,RU,61.0106,35.4781,59.59,67,16,6.11,few clouds
197,Osypenko,UA,46.9136,36.8253,67.84,84,87,8.25,overcast clouds
198,Vilhena,BR,-12.7406,-60.1458,82.62,47,75,10.36,broken clouds
199,Sabirabad,AZ,40.0095,48.4752,83.39,31,0,8.41,clear sky
200,North Canton,US,40.8759,-81.4023,77.67,39,20,3.0,few clouds
201,Saint Anthony,US,45.0205,-93.218,89.22,51,1,1.99,clear sky
202,Torbay,CA,47.6666,-52.7314,69.49,82,75,19.57,broken clouds
203,Seoni Malwa,IN,22.45,77.4667,78.19,81,100,11.88,overcast clouds
204,Kribi,CM,2.95,9.9167,77.67,84,84,7.29,light rain
205,Mao,ES,39.8885,4.2658,77.56,88,40,12.66,scattered clouds
206,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,17.27,scattered clouds
207,Registro,BR,-24.4875,-47.8436,63.19,79,100,3.76,overcast clouds
208,Salalah,OM,17.0151,54.0924,82.49,89,90,10.36,overcast clouds
209,Itoman,JP,26.1247,127.6694,82.42,92,75,12.66,mist
210,Buenos Aires,AR,-34.6132,-58.3772,53.02,50,40,3.44,scattered clouds
211,Gusoeni,RO,44.7333,24.1167,70.66,88,73,5.77,light rain
212,Diffa,NE,13.3154,12.6113,96.39,24,70,11.59,broken clouds
213,Lhokseumawe,ID,5.1801,97.1507,78.3,84,66,1.74,broken clouds
214,Gurjaani,GE,41.7429,45.8011,76.55,50,0,6.17,clear sky
215,Kaitangata,NZ,-46.2817,169.8464,40.84,87,64,5.32,broken clouds
216,Saldanha,ZA,-33.0117,17.9442,59.05,88,96,12.17,overcast clouds
217,East London,ZA,-33.0153,27.9116,59.94,77,0,6.91,clear sky
218,Bambous Virieux,MU,-20.3428,57.7575,70.21,94,75,9.22,light rain
219,Banda Aceh,ID,5.5577,95.3222,79.29,79,67,10.18,broken clouds
220,Cap Malheureux,MU,-19.9842,57.6142,70.47,83,12,3.0,few clouds
221,Tongzi,CN,28.7829,105.0877,65.03,90,100,3.67,light rain
222,Sladkovo,RU,55.5284,70.3385,68.7,68,85,8.86,overcast clouds
223,Makat,KZ,47.6469,53.3463,91.35,25,60,16.67,broken clouds
224,Houston,US,29.7633,-95.3633,94.39,54,1,1.01,clear sky
225,Kondinskoye,RU,59.6481,67.41,52.81,60,54,14.07,broken clouds
226,Chhatak,BD,25.0333,91.6667,78.1,89,54,4.94,broken clouds
227,Kiama,AU,-34.6833,150.8667,55.38,66,0,10.0,clear sky
228,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,21.85,scattered clouds
229,Sitka,US,57.0531,-135.33,60.69,55,75,6.91,broken clouds
230,Townsville,AU,-19.25,146.8,72.48,100,90,8.05,overcast clouds
231,Brooks,CA,50.5834,-111.8851,74.03,23,0,9.22,clear sky
232,The Valley,AI,18.217,-63.0578,86.09,79,40,23.02,scattered clouds
233,Beyneu,KZ,45.3167,55.2,93.4,13,0,3.2,clear sky
234,Ribeira Grande,PT,38.5167,-28.7,68.4,73,75,17.27,broken clouds
235,Bac Lieu,VN,9.285,105.7244,80.67,84,76,7.47,broken clouds
236,Portland,US,45.5234,-122.6762,74.44,62,1,3.0,clear sky
237,Dukat,RU,62.55,155.55,32.7,93,100,5.64,overcast clouds
238,Bantry,IE,51.6833,-9.45,60.28,66,91,13.0,overcast clouds
239,Gallup,US,35.5281,-108.7426,90.36,16,1,5.01,clear sky
240,Murdochville,CA,48.9583,-65.5006,49.08,59,78,7.92,broken clouds
241,Redmond,US,47.674,-122.1215,73.74,61,4,4.0,clear sky
242,Makakilo City,US,21.3469,-158.0858,75.69,83,90,4.61,light rain
243,Port Elizabeth,ZA,-33.918,25.5701,64.69,72,0,23.02,clear sky
244,Fortuna,US,40.5982,-124.1573,66.65,87,90,3.0,overcast clouds
245,Faya,SA,18.3851,42.4509,75.31,33,93,1.99,overcast clouds
246,North Platte,US,41.1239,-100.7654,89.98,44,1,1.01,clear sky
247,Birao,CF,10.2849,22.7882,77.16,72,100,5.14,overcast clouds
248,Lagoa,PT,39.05,-27.9833,64.36,66,99,15.59,overcast clouds
