City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Joshimath,IN,2021-06-14 19:51:20,30.5667,79.5667,64.53,68,3,4.56
179,Daman,IN,2021-06-14 19:51:21,20.4167,72.85,83.66,79,74,13.56
180,Chicaman,GT,2021-06-14 19:51:21,15.4,-90.7667,79.92,87,100,1.43
181,Kharp,RU,2021-06-14 19:51:22,66.8014,65.8081,62.6,80,59,1.25
182,Nizhniy Baskunchak,RU,2021-06-14 19:51:22,48.2198,46.8311,67.17,88,97,10.58
183,Brenham,US,2021-06-14 19:51:22,30.1669,-96.3977,98.82,55,40,6.91
184,Ponta Delgada,PT,2021-06-14 19:51:23,37.7333,-25.6667,72.32,68,20,12.66
185,Faanui,PF,2021-06-14 19:51:23,-16.4833,-151.75,80.6,77,11,15.61
186,Pisco,PE,2021-06-14 19:51:23,-13.7,-76.2167,69.85,68,0,8.05
187,Carmichael,US,2021-06-14 19:50:39,38.6171,-121.3283,87.3,45,20,6.91
188,Saldanha,ZA,2021-06-14 19:51:24,-33.0117,17.9442,57.25,84,0,3.15
189,Belmonte,BR,2021-06-14 19:51:24,-15.8631,-38.8828,73.9,72,41,12.3
190,Visby,SE,2021-06-14 19:51:25,57.6409,18.296,62.82,77,0,19.57
191,Flinders,AU,2021-06-14 19:51:25,-34.5833,150.8552,50.18,91,94,1.01
192,Aklavik,CA,2021-06-14 19:51:25,68.2191,-135.0107,59.83,67,40,3.44
193,San Quintin,MX,2021-06-14 19:51:26,30.4833,-115.95,72.16,69,9,11.56
194,Kupang,ID,2021-06-14 19:50:26,-10.1667,123.5833,74.08,88,35,6.33
195,Cidreira,BR,2021-06-14 19:51:26,-30.1811,-50.2056,62.02,76,0,3.83
196,Enshi,CN,2021-06-14 19:51:27,30.3,109.4833,73.89,94,100,0.89
197,Saskylakh,RU,2021-06-14 19:51:27,71.9167,114.0833,45.7,92,100,13.51
198,Gigmoto,PH,2021-06-14 19:51:27,13.7796,124.39,80.29,83,61,6.26
199,Saint George,US,2021-06-14 19:51:28,37.1041,-113.5841,106.27,7,1,1.01
200,Port Lincoln,AU,2021-06-14 19:51:28,-34.7333,135.8667,54.9,90,61,8.52
201,Kui Buri,TH,2021-06-14 19:51:28,12.0828,99.8543,85.98,77,100,6.22
202,Portland,US,2021-06-14 19:48:26,45.5234,-122.6762,66.61,90,90,1.99
203,Palafrugell,ES,2021-06-14 19:51:29,41.9174,3.1631,79.56,22,0,5.91
204,Kieta,PG,2021-06-14 19:51:29,-6.2167,155.6333,79.0,85,77,5.79
205,Cravo Norte,CO,2021-06-14 19:51:29,6.3017,-70.2041,85.82,65,79,5.32
206,Saint-Francois,FR,2021-06-14 19:51:30,46.4154,3.9054,74.64,57,0,5.75
207,Ponta Do Sol,PT,2021-06-14 19:51:30,32.6667,-17.1,72.01,74,34,3.8
208,Coihaique,CL,2021-06-14 19:51:30,-45.5752,-72.0662,42.91,56,75,3.44
209,Bandarbeyla,SO,2021-06-14 19:51:31,9.4942,50.8122,78.13,83,96,30.76
210,Qabaqcol,AZ,2021-06-14 19:51:31,41.72,46.2647,78.84,53,0,5.23
211,Tartus,SY,2021-06-14 19:51:31,34.889,35.8866,72.5,72,0,16.75
212,Vung Tau,VN,2021-06-14 19:51:32,10.346,107.0843,80.8,84,77,11.01
213,Qena,EG,2021-06-14 19:51:32,26.1615,32.7183,87.91,18,0,14.76
214,Montrose,US,2021-06-14 19:51:32,38.4166,-108.2673,85.44,5,5,12.57
215,Upata,VE,2021-06-14 19:51:33,8.0086,-62.3989,76.19,75,24,7.2
216,Polunochnoye,RU,2021-06-14 19:51:33,60.8697,60.4153,59.65,87,64,5.95
217,Pangnirtung,CA,2021-06-14 19:51:33,66.1451,-65.7125,33.8,86,90,17.27
218,Krasnyy Chikoy,RU,2021-06-14 19:51:34,50.3643,108.7512,49.44,94,100,0.49
219,Upernavik,GL,2021-06-14 19:51:34,72.7868,-56.1549,34.57,93,98,8.28
220,Ballina,AU,2021-06-14 19:51:35,-28.8667,153.5667,50.95,98,41,5.75
221,Jasper,US,2021-06-14 19:51:35,37.2001,-94.3502,92.01,38,1,1.01
222,Altay,CN,2021-06-14 19:51:36,47.8667,88.1167,49.53,70,16,4.29
223,Kuusamo,FI,2021-06-14 19:51:36,65.9667,29.1833,53.64,82,75,9.22
224,Naranjito,EC,2021-06-14 19:51:36,-2.2167,-79.4833,80.42,62,97,1.45
225,Fethiye,TR,2021-06-14 19:51:37,36.6217,29.1164,67.87,85,2,2.15
226,Hasaki,JP,2021-06-14 19:51:37,35.7333,140.8333,63.28,79,37,2.55
227,Half Moon Bay,US,2021-06-14 19:51:38,37.4636,-122.4286,82.06,63,40,12.66
228,Katsuura,JP,2021-06-14 19:51:38,35.1333,140.3,68.14,81,12,2.13
229,Isangel,VU,2021-06-14 19:51:38,-19.55,169.2667,75.92,90,38,7.14
230,Tasiilaq,GL,2021-06-14 19:51:39,65.6145,-37.6368,36.54,75,22,3.6
